profile_id,metric,week,p25,median,p75
filecoin_v1,price,0,5.000000,5.000000,5.000000
filecoin_v1,price,1,1.839397,1.839397,1.839397
filecoin_v1,price,2,0.676676,0.676676,0.676676
filecoin_v1,price,3,0.248935,0.248935,0.248935
filecoin_v1,price,4,0.091578,0.091578,0.091578
filecoin_v1,price,5,0.033690,0.033690,0.033690
filecoin_v1,price,6,0.012394,0.012394,0.012394
filecoin_v1,price,7,0.004559,0.004559,0.004559
filecoin_v1,price,8,0.001677,0.001677,0.001677
filecoin_v1,price,9,0.000617,0.000617,0.000617
filecoin_v1,supply,0,501903349.936610,501903350.098940,501903350.098940
filecoin_v1,supply,1,503806662.237115,503806662.770149,503806662.770149
filecoin_v1,supply,2,505709811.378476,505709811.911510,505709811.911510
filecoin_v1,supply,3,507611472.308212,507611472.841246,507611472.841246
filecoin_v1,supply,4,509510676.609988,509510691.143022,509510691.143022
filecoin_v1,supply,5,511403730.232860,511403758.765894,511403758.765894
filecoin_v1,supply,6,513281303.537432,513281346.070465,513281346.070465
filecoin_v1,supply,7,515115732.300346,515115788.833380,515115788.833380
filecoin_v1,supply,8,516831924.599058,516831992.798758,516831992.798758
filecoin_v1,supply,9,518225849.963515,518225929.829882,518225929.829882
filecoin_v1,minted,0,1903614.651895,1903614.651895,1903614.651895
filecoin_v1,minted,1,1903614.651895,1903614.651895,1903614.651895
filecoin_v1,minted,2,1903614.651895,1903614.651895,1903614.651895
filecoin_v1,minted,3,1902926.318562,1902926.318562,1902926.318562
filecoin_v1,minted,4,1902643.985228,1902657.985228,1902657.985228
filecoin_v1,minted,5,1902403.651895,1902417.651895,1902417.651895
filecoin_v1,minted,6,1902989.318562,1903003.318562,1903003.318562
filecoin_v1,minted,7,1903516.651895,1903530.651895,1903530.651895
filecoin_v1,minted,8,1903992.651895,1904004.318562,1904004.318562
filecoin_v1,minted,9,1904419.651895,1904431.318562,1904431.318562
filecoin_v1,burned,0,264.552955,264.715285,264.715285
filecoin_v1,burned,1,301.980686,302.351390,302.351390
filecoin_v1,burned,2,465.510534,465.510534,465.510534
filecoin_v1,burned,3,1265.388826,1265.388826,1265.388826
filecoin_v1,burned,4,3439.683452,3439.683452,3439.683452
filecoin_v1,burned,5,9350.029023,9350.029023,9350.029023
filecoin_v1,burned,6,25416.013990,25416.013990,25416.013990
filecoin_v1,burned,7,69087.888981,69087.888981,69087.888981
filecoin_v1,burned,8,187800.353184,187800.353184,187800.353184
filecoin_v1,burned,9,510494.287437,510494.287437,510494.287437
filecoin_v1,providers,0,3500.000000,3500.000000,3500.000000
filecoin_v1,providers,1,3500.000000,3500.000000,3500.000000
filecoin_v1,providers,2,3500.000000,3500.000000,3500.000000
filecoin_v1,providers,3,4016.250000,4016.250000,4016.250000
